"sample","Astrocyte","Oligodendrocyte","Mphage/Microglia","Neuron","Endothelial","Ependymal","OPC","Radial Glia","Plasma B cell","Eosino-/Neutrophils","T Cells/NK Cells"
"P453v2",0.0278099072147873,0.0950820311534366,0.00256315541528863,0.0490126430069369,0.111011012018688,-0.00530766294266816,-0.0427483670427818,-0.00707458083449495,0.0463895143258504,-0.0127869525475847,-0.0193505284274897
"P453v3",0.0597592997382433,0.00588744829770646,-0.0272769295548254,0.202062155593508,0.131058553226252,-0.00580511704721385,-0.0540633814323617,0.0584397419487774,0.00364656739573964,-0.0459657729382729,-0.0154317433442539
"P453v4",-0.0111238015434515,0.116178918665083,-0.00633736248249847,-0.0245416546380796,-0.000147489681851625,-0.00683251432949278,-0.0335872328827088,-0.026052712044521,0.0520664869689095,-0.0233905059461602,0.0217993371107044
"P453v5",0.00468887615223741,-0.0232009924573768,-0.00167153289414929,0.0147521477232844,0.00518197161484417,-0.00719422598509183,0.0124534720935764,-0.00285821337858084,0.0882938111423797,-0.0386442112084935,0.0545586921208408
"P453v6",0.0718547514414508,-0.000619258791758527,0.0472028327757439,-0.0306349407190481,-0.00756154389796638,-0.00372009668886742,-0.0143223062013684,-0.0294265608007876,0.171105376039668,-0.00968324069883546,0.0106711802806134
"P453v7",0.108555776174796,-0.0257800778438463,0.024132635367211,-0.0264947313491145,-0.0206260507116279,-0.00444447088540012,-0.010249062606006,-0.0233209445680159,0.174500148943825,-0.0192283689844778,0.00830402150143225
"P453v8",0.132202911129126,0.0193288624562936,0.0319892779937561,-0.0442451849101742,-0.0196767412532086,-0.00449471095963474,-0.0327770741669098,-0.0369575494961487,0.169984022780532,-0.00551875790238343,-0.0117209164921113
"P453v9",0.0254369108981203,-0.00164827222037496,0.0283147991561685,-0.0112224622747733,-0.0115456137764588,-0.00931281885541269,0.0110416715268,-0.0134837227558382,0.174543609020402,-0.0157074623678523,0.0412839975849486
"P453v10",0.0267318930152208,-0.0271032326399247,-0.0269554419264965,0.00397372721081433,-0.0603090524277755,-0.00850493636695147,0.0304822421751438,0.00936875377234964,0.0492809415341851,-0.0345789468480989,0.0205326140237755
"P454v1",-0.0413855939887243,-0.0449136004570789,-0.0420755207890854,-0.0585882059388414,-0.0243406408718002,-0.00887487881249967,-0.0185266581956153,-0.0042391120559033,-0.0609672001072401,-0.0007316087878205,-0.0194190958913236
"P454v2",-0.0676520638184959,-0.0473771746116993,-0.0450902913076324,-0.062149224680291,-0.0654559960262913,-0.00844690578015046,-0.086424641087424,-0.0033009199732983,-0.04633677677125,-0.0194710218433962,0.0198429729620701
"P454v3",-0.0633017876080107,-0.0472866366230303,-0.00744851401310961,-0.0588498529191072,-0.0371119425583598,-0.00903558142057427,-0.0388026006953891,-0.002568954514558,-0.0639667589339373,0.00119599134640022,-0.016611708597539
"P454v4",-0.0659343384977814,-0.0476937985872222,0.0370920184153262,-0.0689114110179876,-0.049833409633679,-0.00553193810309322,-0.0435910039952044,-0.0201464162483892,-0.0219838894435187,0.0451799450338632,-0.00203169739749683
"P454v5",-0.0622754492555838,-0.0460100057421331,-0.00961544887485675,-0.0697054244957881,0.030710860217708,-0.00558507704044205,-0.0440674391878961,-0.0327467171717396,0.0042934759540247,0.0519041774919434,0.049786023297931
"P454v6",-0.0607322348084351,-0.0471886471681157,-0.0167118995027333,-0.0598654068185737,-0.0415125660639333,-0.00673443448808678,-0.0302455230723362,-0.0019785382643655,-0.0611274345440196,0.00756572759344433,-0.019759712789013
"P454v7",-0.0536288957589393,-0.0459898330745377,-0.0541069956305161,-0.0547484638067825,-0.0490886717174635,-0.00953723222200825,-0.0411969657407015,0.000736789429380803,-0.0685953621603199,-0.0139429242466407,-0.0123887378919631
"P454v8",-0.017044789017285,0.0352378243389579,-0.0010253698023249,0.0701931027158507,0.116395470831173,-0.00594947359279445,-0.077093190741304,0.0044522894493297,-0.0410418414544799,-0.0153899009038832,-0.0194679786328583
"P454v9",-0.0506549902693672,-0.0153753083452273,-0.0255479774453047,-0.010973425187445,0.0796663269693543,-0.00852662378666462,-0.0669182738628309,-0.00575232900507995,-0.0657551395686875,-0.0212745783486049,-0.0165516010115204
"P454v10",-0.0509454256682767,-0.0458844177044274,-0.0366272471133324,-0.0600986105423643,-0.0279784132167707,-0.0085759788318525,-0.00984896268537338,-0.0030715207914842,-0.05865058645954,0.00683827326591017,-0.0170226284438924
"P455v1",0.0113449008163917,0.0134788078250274,-0.0289881261855647,0.0850166459686926,0.0374650313783821,-0.00686425252288188,-0.0936531711586191,0.0160723187636595,-0.0458463802820082,-0.0386697769389817,-0.00802932293127302
"P455v2",-0.0281588757665978,0.211409272017275,0.0286025958057615,-0.0426285969688235,0.0584154409592635,-0.00798499860303345,-0.0260368538198436,-0.03623045846031,0.0338298932985012,0.0331351941198243,-0.0122096574482234
"P455v3",-0.0581475315770868,-0.0203798094388536,0.11563123171071,-0.0332596809391354,0.00814859530835327,-0.00623678446516667,-0.0306603340241713,-0.0213271855018724,-0.0249235065409724,0.0891125579277234,-0.00417043050875355
"P455v4",-0.0632109339005942,-0.0326989704142669,0.106423701843917,-0.0214137791170351,-0.0241779050420346,-0.00149109296020212,-0.0252977069255685,-0.016307131458473,-0.0205716146862414,0.0930602129404774,-0.0132289887386451
"P455v5",-0.060587551282822,-0.0391930091304526,0.0961272660072004,-0.0433954429256544,-0.0313733013788444,-0.00455262381920262,-0.0385159670239495,-0.0230251107584425,-0.0280964728184778,0.10639985046843,-0.0151426338087295
"P455v6",-0.0741233591349538,-0.0364910104934098,0.173368214597229,-0.0654521869654081,-0.0250777193369448,0.0178750160200273,-0.0500454152521228,-0.0253204845085749,0.0134739019533949,0.109248100813694,0.0367172755007948
"P455v7",-0.0583659980158104,-0.0402644604542208,0.0571856172016805,-0.028238298498176,-0.0482693215103441,-0.000749303266958369,-0.00846026946369924,-0.0040933090461338,-0.0257649042687734,0.0774930567096607,-0.0243640498561212
"P455v8",-0.053994117864057,-0.0282034061449101,0.0347660637472839,-0.015154144153682,-0.00179217060445788,-0.000312119297298266,-0.0290451196999107,-0.00635987784577899,-0.0563498250277596,0.0560083537249716,-0.0163732887755015
"P455v9",-0.0671778162090357,-0.0332210247123283,0.126212240748517,-0.0505743302568644,-0.0280161492833012,-1.68326298411893e-05,-0.0450440180141561,-0.0253315385523213,-0.0122253160020441,0.101470886874821,-0.0023837752961641
"P455v10",0.0200452590074215,-0.004785034756872,-0.038297801357413,0.13620252607871,0.0582577931974584,-0.00207106979142559,-0.053722646028021,0.0371235016832386,-0.0619966101987568,-0.0335218503064921,-0.029239372655298
"P457v2",-0.0695273426478365,0.0414196364867259,0.191981999984067,-0.0718171179598012,-0.0629142132567148,-0.0033250820399719,-0.0708926400951692,-0.0509830672561127,0.0866198293602358,0.135137990042225,0.000537810099358001
