""	"Angiogenesis"	"Apoptosis"	"Cell_Cycle"	"Differentiation"	"DNA_damage"	"DNA_repair"	"EMT"	"Hypoxia"	"Inflammation"	"Invasion"	"Metastasis"	"Proliferation"	"Quiescence"	"Stemness"
"P456v1"	-0.355918730428135	-0.0858914913185201	-0.417584971448266	-0.193322544426065	-0.1992881031534	-0.185261773708359	-0.288821790152428	-0.275610708196727	-0.295986979586608	-0.290578085567266	-0.309783643666552	-0.224350456409899	-0.299385527200893	-0.0706267205939872
"P456v2"	-0.00639266679350171	0.227230804485847	-0.255276244748345	0.0690688913670418	-0.0360283212991333	-0.144322471610316	-0.10969193450716	0.218369590999697	0.452644239754293	-0.0404122344706035	0.0650361103237493	0.133792712241823	0.233194381912521	-0.0322724799909021
"P456v3"	-0.152841470975083	-0.134204560040876	-0.546712029598009	0.0545652279177055	-0.418679525827103	-0.467651320434848	-0.174488852910573	0.0658256233896409	-0.221985261017228	-0.201218559796759	-0.290634886711141	-0.333746253271441	-0.0165648450631877	-0.0380110867909947
"P456v4"	0.0121849148178843	0.223976725370189	-0.414087001806684	0.165449372452175	-0.17356795563901	-0.161864457794278	-0.0576612931581029	0.0937382744810112	0.260748904699364	0.129264674631508	0.0341221127927554	0.260727858626996	0.126782174335787	-0.16237087476349
"P456v5"	-0.170130751716521	0.412732126316636	-0.360545485157483	0.0649265900365349	-0.0861561491294688	-0.193096225915104	-0.105435754723253	-0.126523578942882	0.482565913703019	-0.0185486063732993	0.0690002563139376	0.0641556170601656	0.105123819489489	-0.214462826719093
"P456v6"	-0.337276773381692	-0.121035337420666	-0.412338895369065	-0.168427917816152	-0.255932320678767	-0.27077407132984	-0.34255042585058	-0.272669125801259	-0.236709556382232	-0.301663070951611	-0.297363220260601	-0.337678101247104	-0.207578577869365	-0.0841766714210206
"P456v7"	-0.199353118698592	0.083444253440942	-0.545716907728665	0.224974106968017	-0.226747372809284	-0.32110485343744	-0.00688111409808787	0.0582611902928287	0.337418776562858	0.1141962892286	0.0305548955079512	0.241513281907369	0.357361056683114	-0.247644944428506
"P456v8"	0.408871368517373	0.146989596966682	-0.492181444253891	0.306495614578042	-0.14856350189049	-0.333073360910586	0.138034975867195	0.651709860216162	0.67206645317062	0.231979970950181	0.295664567171225	0.431792074458794	0.46375013030722	-0.0936281847480887
"P456v9"	-0.141528761133314	-0.0838741488988299	-0.423169038184975	-0.0286414783435645	-0.243749659598175	-0.370306780073168	-0.217595178027872	-0.0967742627233873	-0.059807103314457	-0.273758812738043	-0.14434180485131	-0.137938767592647	-0.192447824868626	-0.117898483209341
"P456v10"	-0.015488503212964	0.178258393978516	-0.421224565212971	0.101160399255608	-0.105812172677793	-0.278868166583803	-0.168940332652152	0.591671500837312	0.719118200008748	-0.141159051906609	0.109988834893097	0.11785005428375	0.397301952157317	-0.0551229724961584
"P300v1"	-0.202691515129415	-0.219417579346682	-0.495426158171619	-0.114624905895515	-0.166587504019737	-0.215565490293352	-0.270959513478127	-0.25032039888932	0.0267585373600458	-0.307309922513685	-0.118639336413102	-0.0413628089685315	-0.0842984064010379	-0.135432153134928
"P300v4"	-0.290546436346665	-0.34446523189643	-0.40000274488383	-0.203459761893286	-0.240250891240689	-0.221216213068206	-0.394195498268449	-0.286340462312873	-0.336106043750867	-0.370100384902505	-0.347289610081089	-0.309388681831335	-0.226384229645496	-0.184026436827958
